"Exhibitor","Country","Zip Code","City","Federal State","CCI District","Company website","Booth"
"Abbey Seals International Ltd.","Ireland","D12 TNY6","Dublin",,,"https://www.abbeyseals.ie/","Hall 5"
"acontis technologies GmbH","Germany",88212,"Ravensburg","Baden-Wurttemberg","Weingarten/IHK Bodensee","http://www.acontis.com","Hall 9"
"ads-tec Energy GmbH","Germany",72622,"Nürtingen","Baden-Wurttemberg","Stuttgart/IHK Region Stuttgart","http://www.adstec-energy.com","Hall 12"
"Advantech Europe B.V.","Netherlands","5692 ER","Son en Breugel",,,"http://www.advantech.com","Hall 15"
"AGC Chemicals Europe Ltd.","Netherlands","1077 XV","Amsterdam",,,"http://www.agcce.com","Hall 13"
"AGRO AG","Switzerland",5502,"Hunzenschwil",,,"http://www.agro.ch","Hall 13"
"AVEVA GmbH","Germany",60327,"Frankfurt","Hesse","Frankfurt/Main/IHK Frankfurt/M","http://www.aveva.com","Hall 11"
"Endress+Hauser (Deutschland) GmbH+Co. KG","Germany",79576,"Weil am Rhein","Baden-Wurttemberg","Konstanz/IHK Hochrhein-Bod.see","http://www.de.endress.com","Hall 15"
"equensWorldline SE Germany","Germany",52076,"Aachen","Nrth Rhine Westfalia",,"http://www.worldline.com","Hall 7"
"HARTING Deutschland GmbH & Co. KG","Germany",32423,"Minden","Nrth Rhine Westfalia","Bielefeld/IHK Ostwestfalen",,"Hall 11"
"Heraeus Deutschland GmbH & Co. KG","Germany",63450,"Hanau","Hesse","Hanau/IHK Hanau","http://www.heraeus-precious-metals.com","Hall 13"
"Hewlett Packard Enterprise GmbH","Germany",71034,"Böblingen","Baden-Wurttemberg","Stuttgart/IHK Region Stuttgart","http://www.hpe.com/de","Hall 15"
"HIWIN GmbH","Germany",77654,"Offenburg","Baden-Wurttemberg","Freiburg/IHK Südl. Oberrhein","http://www.hiwin.de","Hall 7"
"Hydac International GmbH","Germany",66280,"Sulzbach","Saarland","Saarbrücken/IHK des Saarlandes","http://www.hydac.com","Hall 13"
"ifm electronic gmbh","Germany",45128,"Essen","Nrth Rhine Westfalia","Essen/IHK Essen",,
"Lapp Mobility GmbH","Germany",70565,"Stuttgart","Baden-Wurttemberg","Stuttgart/IHK Region Stuttgart","https://lappmobility.lappgroup.com","Hall 11"
"Linde GmbH Linde Engineering","Germany",82049,"Pullach","Bavaria","München/IHK für München/Obayer","http://www.linde-engineering.com","Hall 13"
"Phoenix Contact GmbH & Co. KG","Germany",32825,"Blomberg","Nrth Rhine Westfalia","Detmold/IHK Lippe zu Detmold","http://www.phoenixcontact.com","Hall 9"
"Rittal GmbH & Co. KG","Germany",35745,"Herborn","Hesse","Dillenburg/IHK Dbg u. Wetzlar","https://www.rittal.de","Hall 11"
"Rockwell Automation GmbH","Germany",40468,"Düsseldorf","Nrth Rhine Westfalia","Düsseldorf/IHK zu Düsseldorf","http://www.rockwellautomation.de","Hall 9"
"SAP SE","Germany",69190,"Walldorf","Baden-Wurttemberg","Mannheim/IHK Rhein-Neckar","http://www.sap.com","Hall 17"
"Schneider Electric Industries SAS","France",92500,"Rueil Malmaison",,,"http://www.se.com","Hall 11"
